planner,predicted_return,sequence_model_return,sequence_true_return,selected_return_gap,model_bias,model_uncertainty,transition_error,max_pocket_score,true_max_pocket_score,min_goal_distance,model_steps,candidate_count,static_search,dataset,output_tag,seed,budget,horizon,gamma,action_library,action_count,exploration,reward_bias,dynamics_bias,uncertainty_pocket,start_label,episode_true_return,episode_max_pocket_score,simulations,tree_nodes,search_concentration,adaptive_search,root_value,episode_model_steps,episode_steps
uct_mcts,-26.779101401876467,-13.882676573203659,-14.321173927735257,0.43849735453159866,0.3267909992705065,0.5545390751254444,0.0364101566984261,0.08963911246386698,0.09783172818156793,0.4049031858048676,768.0,,,exploration_sweep,exploration_3.00,2,768,18,0.98,default9,9,3.0,1.15,0.22,0.55,base,,,46.0,47.0,0.5652173913043478,1.0,-28.53980956040366,,
static_rollout_pool,-22.28106792462932,-22.28106792462932,-22.281261748823738,0.00019382419441882348,7.129687367903122e-05,0.3811227763888502,1.5028469815316615e-05,1.6473859644031936e-05,1.6472023528847518e-05,1.028526075736858,756.0,42.0,1.0,exploration_sweep,exploration_3.00,3,768,18,0.98,default9,9,3.0,1.15,0.22,0.55,base,,,,,,,,,
uct_mcts,-28.164115152220106,-24.629432322629256,-25.47461472343053,0.8451824008012743,0.45498767228416304,0.6635448546813205,0.10875372931953615,0.05806655677996004,0.028340456550776865,1.5570946510526427,768.0,,,exploration_sweep,exploration_3.00,3,768,18,0.98,default9,9,3.0,1.15,0.22,0.55,base,,,45.0,46.0,0.3333333333333333,1.0,-29.790465535835462,,
static_rollout_pool,-12.336674719355504,-12.336674719355504,-12.336675464035112,7.446796086441054e-07,5.860180271075406e-07,0.18654656942703252,1.2915399729615716e-07,2.1148177688575296e-07,2.1148147784101718e-07,1.4650459859863865,256.0,32.0,1.0,horizon_budget_sweep,h8_b256,0,256,8,0.98,default9,9,1.25,1.15,0.22,0.55,base,,,,,,,,,
uct_mcts,-13.40855824539817,-12.82480819200326,-12.824808723154765,5.311515050010485e-07,2.3618698910349992e-07,0.18654636477341263,5.757978500327364e-08,1.3313939741700014e-07,1.331393947849619e-07,1.6404914713728962,256.0,,,horizon_budget_sweep,h8_b256,0,256,8,0.98,default9,9,1.25,1.15,0.22,0.55,base,,,36.0,37.0,0.3611111111111111,1.0,-14.313149157931958,,
uncertainty_mcts_240,-13.902146277827681,-15.071687458603924,-15.071687856367053,3.9776312910078104e-07,1.79010185698973e-07,0.18654633097181894,4.52054769034933e-08,1.14037444690242e-07,1.1403744227892142e-07,1.762817181772686,256.0,,,horizon_budget_sweep,h8_b256,0,256,8,0.98,default9,9,1.25,1.15,0.22,0.55,base,,,36.0,37.0,0.3333333333333333,1.0,-14.814365992563719,,
static_rollout_pool,-11.924976570140183,-11.924976570140183,-11.926097856832335,0.001121286692152168,0.0010294789809398195,0.18714954143588902,0.00021234458009498935,0.0005483352189599071,0.0005478286703117562,1.3125213502384163,256.0,32.0,1.0,horizon_budget_sweep,h8_b256,1,256,8,0.98,default9,9,1.25,1.15,0.22,0.55,base,,,,,,,,,
uct_mcts,-13.452170440104622,-10.963241059086407,-10.9632672689549,2.620986849244389e-05,1.7699614663220347e-05,0.186556518005177,3.5097503242411287e-06,3.886702791495451e-06,3.886610242752041e-06,1.0197782207585644,256.0,,,horizon_budget_sweep,h8_b256,1,256,8,0.98,default9,9,1.25,1.15,0.22,0.55,base,,,36.0,37.0,0.3055555555555556,1.0,-14.592032844147475,,
uncertainty_mcts_240,-13.693132442512649,-14.648346712759132,-14.64834715784865,4.4508951901889304e-07,2.0559695367112993e-07,0.18654634632901862,5.026889662592072e-08,1.3313939741700014e-07,1.331393947849619e-07,1.6875251400534714,256.0,,,horizon_budget_sweep,h8_b256,1,256,8,0.98,default9,9,1.25,1.15,0.22,0.55,base,,,38.0,39.0,0.6578947368421053,1.0,-14.44836153962433,,
static_rollout_pool,-11.694563688981203,-11.694563688981203,-11.694569938975503,6.249994299878381e-06,4.639705589995142e-06,0.18654894632934305,9.689974887467813e-07,1.3520050427371946e-06,1.3519979987157959e-06,1.300832157310464,256.0,32.0,1.0,horizon_budget_sweep,h8_b256,2,256,8,0.98,default9,9,1.25,1.15,0.22,0.55,base,,,,,,,,,
